2024-02-21 03:53:27,670 INFO    StreamThr :22077 [internal.py:wandb_internal():86] W&B internal server running at pid: 22077, started at: 2024-02-21 03:53:27.667732
2024-02-21 03:53:27,674 DEBUG   HandlerThread:22077 [handler.py:handle_request():146] handle_request: status
2024-02-21 03:53:27,679 INFO    WriterThread:22077 [datastore.py:open_for_write():87] open: /home/qwe/LM_qlora_dataset_mistral7b/bloom/wandb/run-20240221_035323-41fa1yvg/run-41fa1yvg.wandb
2024-02-21 03:53:27,680 DEBUG   SenderThread:22077 [sender.py:send():382] send: header
2024-02-21 03:53:27,680 DEBUG   SenderThread:22077 [sender.py:send():382] send: run
2024-02-21 03:53:28,041 INFO    SenderThread:22077 [dir_watcher.py:__init__():211] watching files in: /home/qwe/LM_qlora_dataset_mistral7b/bloom/wandb/run-20240221_035323-41fa1yvg/files
2024-02-21 03:53:28,041 INFO    SenderThread:22077 [sender.py:_start_run_threads():1136] run started: 41fa1yvg with start time 1708487606.732688
2024-02-21 03:53:28,052 DEBUG   HandlerThread:22077 [handler.py:handle_request():146] handle_request: check_version
2024-02-21 03:53:28,052 DEBUG   SenderThread:22077 [sender.py:send_request():409] send_request: check_version
2024-02-21 03:53:28,111 DEBUG   HandlerThread:22077 [handler.py:handle_request():146] handle_request: run_start
2024-02-21 03:53:28,112 DEBUG   HandlerThread:22077 [system_info.py:__init__():27] System info init
2024-02-21 03:53:28,112 DEBUG   HandlerThread:22077 [system_info.py:__init__():42] System info init done
2024-02-21 03:53:28,112 INFO    HandlerThread:22077 [system_monitor.py:start():194] Starting system monitor
2024-02-21 03:53:28,112 INFO    SystemMonitor:22077 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-02-21 03:53:28,112 INFO    SystemMonitor:22077 [interfaces.py:start():190] Started cpu monitoring
2024-02-21 03:53:28,113 INFO    SystemMonitor:22077 [interfaces.py:start():190] Started disk monitoring
2024-02-21 03:53:28,113 INFO    SystemMonitor:22077 [interfaces.py:start():190] Started gpu monitoring
2024-02-21 03:53:28,113 INFO    HandlerThread:22077 [system_monitor.py:probe():214] Collecting system info
2024-02-21 03:53:28,113 INFO    SystemMonitor:22077 [interfaces.py:start():190] Started memory monitoring
2024-02-21 03:53:28,114 INFO    SystemMonitor:22077 [interfaces.py:start():190] Started network monitoring
2024-02-21 03:53:28,120 DEBUG   HandlerThread:22077 [system_info.py:probe():151] Probing system
2024-02-21 03:53:28,121 DEBUG   HandlerThread:22077 [system_info.py:_probe_git():136] Probing git
2024-02-21 03:53:28,123 DEBUG   HandlerThread:22077 [system_info.py:_probe_git():144] Probing git done
2024-02-21 03:53:28,123 DEBUG   HandlerThread:22077 [system_info.py:probe():199] Probing system done
